id_oferty;id_firmy;okres_umowy;grupa_okresu;nazwa_oferty;nazwa_pakietu;liczba_kanalow;grupa_porownawcza;dodatki;uwagi;okres_od_1;okres_do_1;cena_1;okres_od_2;okres_do_2;cena_2
1;CHOPIN;12;12;Super TV;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;68.57;2;12;73.56
2;CHOPIN;12;12;Super TV;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;111.57;2;12;116.56
3;CHOPIN;12;12;Super TV;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;137.57;2;12;142.56
4;CHOPIN;12;12;Super TV;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;228.57;2;12;233.56
5;CHOPIN;24;24;Blue Box;Blue Box;57;57;SMART TV - 57 kanałów;cena z rabatem za e-fakturę;1;24;60.08;;;
6;CHOPIN;24;24;Super TV;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;68.57;2;24;73.56
7;CHOPIN;24;24;Super TV;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;101.57;2;24;106.56
8;CHOPIN;24;24;Super TV;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;127.57;2;24;132.56
9;CHOPIN;24;24;Super TV;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;218.57;2;24;223.56
10;CHOPIN;12;12;Trzymaj z nami;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;68.57;2;12;73.56
11;CHOPIN;12;12;Trzymaj z nami;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;105.57;2;12;110.56
12;CHOPIN;12;12;Trzymaj z nami;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;131.57;2;12;136.56
13;CHOPIN;12;12;Trzymaj z nami;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;217.57;2;12;222.56
14;CHOPIN;24;24;Trzymaj z nami;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;68.57;2;24;73.56
15;CHOPIN;24;24;Trzymaj z nami;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;95.57;2;24;100.56
16;CHOPIN;24;24;Trzymaj z nami;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;121.57;2;24;126.56
17;CHOPIN;24;24;Trzymaj z nami;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;207.57;2;24;212.56
18;CHOPIN;12;12;STOP EXTRA TV;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;12;53.69;;;
